station_id,station_name,catchment_id,catchment_name,stationparameter_no,stationparameter_name,ts_id,ts_name,from,to,station_latitude,station_longitude,river_id,river_name,CATCHMENT_SIZE,GAUGE_DATUM,on_river,has_catchment_size
35952,Kirkton Burn,277167,Forth,SG,Level,52422010,15minute,2003-11-21,2025-06-25,56.36683432,-4.377397065,21075.0,Kirkton Burn,6.85,249.5,True,True
35960,Upper Monachyle,277167,Forth,SG,Level,52463010,15minute,2003-11-26,2025-07-28,56.39271229,-4.463706898,21223.0,Monachyle,2.24,446.0,True,True
35978,Claggan,277154,Loch Linnhe Group,SG,Level,52539010,15minute,1982-10-01,2025-07-28,56.82151065,-5.088839432,21257.0,Nevis,69.2,3.441,True,True
36036,Calderpark,277159,Clyde,SG,Level,52768010,15minute,1978-03-01,2025-07-28,55.83754619,-4.10777909,21271.0,North Calder Water,129.8,12.5,True,True
36090,Glen Orchy,277169,Awe and Etive,SG,Level,52986010,15minute,1978-10-01,2025-07-28,56.44657591,-4.852749436,21287.0,Orchy,251.2,66.7,True,True
36116,Hoodston Bridge,277165,Irvine and Ayr,SG,Level,53093010,15minute,2000-02-07,2025-07-28,55.60122684,-4.428249956,20775.0,Cessnock Water,76.2,36.005,True,True
36032,Bridgend,277159,Clyde,SG,Level,52752010,15minute,1973-06-01,2025-07-28,55.94910632,-4.129006198,21055.0,Kelvin,63.7,34.478,True,True
36044,Catrine,277165,Irvine and Ayr,SG,Level,52800010,15minute,1970-10-01,2025-07-28,55.50462561,-4.336590474,20647.0,Ayr,166.3,86.66,True,True
36082,Fairholm,277159,Clyde,SG,Level,52954010,15minute,1978-03-07,2025-07-28,55.74419908,-3.986819701,20641.0,Avon Water,265.5,53.916,True,True
36086,Gaidrew,277163,Leven (Durnbartonshire),SG,Level,52970010,15minute,1978-01-01,2025-07-28,56.04809931,-4.434505213,20903.0,Endrick Water,219.9,9.455,True,True
36104,Happendon,277159,Clyde,SG,Level,53044010,15minute,1989-09-14,2025-07-28,55.5801981,-3.816796943,20849.0,Douglas Water,97.0,182.967,True,True
36128,Kilwinning,277165,Irvine and Ayr,SG,Level,53142010,15minute,1978-01-01,2025-07-27,55.64563956,-4.692060096,20969.0,Garnock,183.8,3.643,True,True
35982,Caulkerbush,277161,Dee (Galloway),SG,Level,52555010,15minute,2002-05-20,2020-03-03,54.89874408,-3.672536736,21369.0,Southwick Burn,26.0,16.1,True,True
36008,Auchendrane,277171,Doon Group,SG,Level,52656010,15minute,1978-03-01,2025-07-28,55.40997977,-4.627054661,20843.0,Doon,323.8,22.262,True,True
36020,Barnaline Lodge,277169,Awe and Etive,SG,Level,52704010,15minute,1980-08-01,2025-07-28,56.27473893,-5.278048706,20635.0,Avich,32.1,49.3,True,True
36074,Eas Daimh,277169,Awe and Etive,SG,Level,52922010,15minute,1981-08-01,2025-07-28,56.40771881,-4.855886468,20879.0,Eas Daimh,4.5,183.6,True,True
35500,Perth,277175,Tay,SG,Level,51453010,15minute,1991-08-28,2025-07-28,56.41191473,-3.434206313,21397.0,Tay,4991.0,2.08,True,True
35684,Lochindorb Level,277148,Findhorn Group,SG,Level,51846010,15minute,2007-03-05,2025-07-28,57.39798722,-3.714675739,21167.0,Lochindorb,28.9,294.659,True,True
35986,Dalry,277165,Irvine and Ayr,SG,Level,52571010,15minute,2014-11-21,2025-07-28,55.70198453,-4.716787117,20969.0,Garnock,88.8,19.349,True,True
36000,Kirkfieldbank,277159,Clyde,SG,Level,52631010,15minute,2007-12-13,2020-09-18,55.67631471,-3.803247871,20779.0,Clyde,957.41,92.833,True,True
36024,Blairston,277159,Clyde,SG,Level,52720010,15minute,1955-09-30,2025-07-28,55.79734306,-4.068305537,20779.0,Clyde,1704.2,17.6,True,True
36048,Condorrat,277159,Clyde,SG,Level,52816010,15minute,1978-01-01,2025-07-28,55.92951508,-4.019603678,21183.0,Luggie Water,33.9,67.503,True,True
36056,Daldowie,277159,Clyde,SG,Level,52849010,15minute,1977-10-01,2025-07-28,55.82998694,-4.121948322,20779.0,Clyde,1903.1,7.477,True,True
36060,Dippen,277157,Kintyre Group,SG,Level,52874010,15minute,1995-05-01,2025-07-28,55.58274848,-5.496523588,20761.0,Carradale Water,58.5,3.1,True,True
36124,Killermont,277159,Clyde,SG,Level,53125010,15minute,1946-10-18,2025-07-28,55.90623638,-4.307622592,21055.0,Kelvin,335.1,27.6,True,True
36016,Balnowlart,277171,Doon Group,SG,Level,52688010,15minute,1978-03-01,2025-07-28,55.10717871,-4.968322113,21379.0,Stinchar,341.0,6.731,True,True
36028,Braevallich,277169,Awe and Etive,SG,Level,52736010,15minute,1981-10-01,2023-10-01,56.21639554,-5.296246434,20565.0,Abhainn a Bhealaich,24.1,41.4,True,True
